ID,purchaseNumber,purchaseDate,totalAmount,paymentMethod,note,customer_ID,store_ID
f2000001-0000-4000-8000-000000000001,CP-20250827-00001,2025-08-27T06:15:31Z,27901,현금,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000002,CP-20251019-00002,2025-10-19T04:11:30Z,27379,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000003,CP-20250617-00003,2025-06-17T13:04:58Z,252572,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000004,CP-20250716-00004,2025-07-16T15:31:03Z,299847,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000005,CP-20250907-00005,2025-09-07T08:47:44Z,344029,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000006,CP-20250803-00006,2025-08-03T05:17:17Z,435220,포인트,,f1000001-0000-4000-8000-000000000001,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000007,CP-20250924-00007,2025-09-24T16:10:43Z,457076,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000008,CP-20251127-00008,2025-11-27T13:45:13Z,449432,현금,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000009,CP-20250813-00009,2025-08-13T09:13:34Z,363913,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000010,CP-20250903-00010,2025-09-03T18:43:25Z,340627,포인트,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000011,CP-20260312-00011,2026-03-12T10:21:43Z,218197,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000012,CP-20250626-00012,2025-06-26T07:22:26Z,432516,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000013,CP-20260123-00013,2026-01-23T04:58:41Z,372752,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000014,CP-20251112-00014,2025-11-12T19:38:59Z,166942,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000015,CP-20250928-00015,2025-09-28T18:45:44Z,314044,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000016,CP-20250829-00016,2025-08-29T05:20:22Z,391335,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000017,CP-20250619-00017,2025-06-19T08:36:01Z,84054,현금,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000018,CP-20250625-00018,2025-06-25T16:01:49Z,62937,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000019,CP-20251211-00019,2025-12-11T22:36:38Z,208856,포인트,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000020,CP-20250615-00020,2025-06-15T09:04:06Z,352685,현금,,f1000001-0000-4000-8000-000000000001,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000021,CP-20250725-00021,2025-07-25T13:42:37Z,37152,포인트,,f1000001-0000-4000-8000-000000000002,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000022,CP-20260217-00022,2026-02-17T13:45:48Z,234214,카드,,f1000001-0000-4000-8000-000000000002,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000023,CP-20250628-00023,2025-06-28T04:11:58Z,267784,간편결제,,f1000001-0000-4000-8000-000000000002,d1000001-0005-4000-8000-000000000005
